REGION,SETTLEMENTDATE,TOTALDEMAND,RRP_MWh,PERIODTYPE,RRP_KWh,max rrp,min rrp,min Totaldemand,max totaldemand
NSW1,1/1/18 0:30,6912.25,91.86,TRADE,0.09186,2.46452,0.01353,5552.23,12846.15
NSW1,1/1/18 1:00,6745.63,88.83,TRADE,0.08883,,,,
NSW1,1/1/18 1:30,6466.06,73.62,TRADE,0.07362,,,,
NSW1,1/1/18 2:00,6279.8,71.49,TRADE,0.07149,,,,
NSW1,1/1/18 2:30,6177.31,69.27,TRADE,0.06927,,,,
NSW1,1/1/18 3:00,6050.43,68.44,TRADE,0.06844,,,,
NSW1,1/1/18 3:30,6032.48,69.67,TRADE,0.06967,,,,
NSW1,1/1/18 4:00,5968.5,67.58,TRADE,0.06758,,,,
NSW1,1/1/18 4:30,5953.75,67.09,TRADE,0.06709,,,,
NSW1,1/1/18 5:00,5962.18,67.53,TRADE,0.06753,,,,
NSW1,1/1/18 5:30,5991.69,65.8,TRADE,0.0658,,,,
NSW1,1/1/18 6:00,6062.03,61.53,TRADE,0.06153,,,,
NSW1,1/1/18 6:30,6204.87,66.62,TRADE,0.06662,,,,
NSW1,1/1/18 7:00,6352.58,68.42,TRADE,0.06842,,,,
NSW1,1/1/18 7:30,6548.03,69.02,TRADE,0.06902,,,,
NSW1,1/1/18 8:00,6728.17,69,TRADE,0.069,,,,
NSW1,1/1/18 8:30,6885.22,68.88,TRADE,0.06888,,,,
NSW1,1/1/18 9:00,7080.7,69.22,TRADE,0.06922,,,,
NSW1,1/1/18 9:30,7281.71,74.04,TRADE,0.07404,,,,
NSW1,1/1/18 10:00,7474.62,75.15,TRADE,0.07515,,,,
NSW1,1/1/18 10:30,7663.88,75.2,TRADE,0.0752,,,,
NSW1,1/1/18 11:00,7764.89,80.66,TRADE,0.08066,,,,
NSW1,1/1/18 11:30,7813.63,77.93,TRADE,0.07793,,,,
NSW1,1/1/18 12:00,7815.47,71.48,TRADE,0.07148,,,,
NSW1,1/1/18 12:30,7804.96,70.47,TRADE,0.07047,,,,
NSW1,1/1/18 13:00,7901.26,76.55,TRADE,0.07655,,,,
NSW1,1/1/18 13:30,7938.72,83.84,TRADE,0.08384,,,,
NSW1,1/1/18 14:00,8000.7,85.14,TRADE,0.08514,,,,
NSW1,1/1/18 14:30,8090.72,84.88,TRADE,0.08488,,,,
NSW1,1/1/18 15:00,8210.88,82.54,TRADE,0.08254,,,,
NSW1,1/1/18 15:30,8365.1,87.06,TRADE,0.08706,,,,
NSW1,1/1/18 16:00,8512.21,95.05,TRADE,0.09505,,,,
NSW1,1/1/18 16:30,8601.46,90.84,TRADE,0.09084,,,,
NSW1,1/1/18 17:00,8747.49,91.46,TRADE,0.09146,,,,
NSW1,1/1/18 17:30,8693.3,81.83,TRADE,0.08183,,,,
NSW1,1/1/18 18:00,8672.52,79.93,TRADE,0.07993,,,,
NSW1,1/1/18 18:30,8531.94,72.77,TRADE,0.07277,,,,
NSW1,1/1/18 19:00,8279.37,74.45,TRADE,0.07445,,,,
NSW1,1/1/18 19:30,8189.38,71.73,TRADE,0.07173,,,,
NSW1,1/1/18 20:00,8161.52,76.95,TRADE,0.07695,,,,
NSW1,1/1/18 20:30,8122.2,78.91,TRADE,0.07891,,,,
NSW1,1/1/18 21:00,7957.58,69.42,TRADE,0.06942,,,,
NSW1,1/1/18 21:30,7860.28,71.31,TRADE,0.07131,,,,
NSW1,1/1/18 22:00,7648.52,66.1,TRADE,0.0661,,,,
NSW1,1/1/18 22:30,7567.13,65.72,TRADE,0.06572,,,,
NSW1,1/1/18 23:00,7336.37,62.37,TRADE,0.06237,,,,
NSW1,1/1/18 23:30,7123.26,62.84,TRADE,0.06284,,,,
NSW1,2/1/18 0:00,6989.32,58.48,TRADE,0.05848,,,,
NSW1,2/1/18 0:30,6815.38,56.73,TRADE,0.05673,,,,
NSW1,2/1/18 1:00,6590.78,56.88,TRADE,0.05688,,,,
NSW1,2/1/18 1:30,6290.12,53.73,TRADE,0.05373,,,,
NSW1,2/1/18 2:00,6139.77,55.07,TRADE,0.05507,,,,
NSW1,2/1/18 2:30,6030.56,53.74,TRADE,0.05374,,,,
NSW1,2/1/18 3:00,5986.37,54.98,TRADE,0.05498,,,,
NSW1,2/1/18 3:30,5986.86,54.98,TRADE,0.05498,,,,
NSW1,2/1/18 4:00,6013.38,54.98,TRADE,0.05498,,,,
NSW1,2/1/18 4:30,6198.13,52.47,TRADE,0.05247,,,,
NSW1,2/1/18 5:00,6271.44,66.62,TRADE,0.06662,,,,
NSW1,2/1/18 5:30,6557.23,66.89,TRADE,0.06689,,,,
NSW1,2/1/18 6:00,6847.25,67.29,TRADE,0.06729,,,,
NSW1,2/1/18 6:30,7155.88,66.02,TRADE,0.06602,,,,
NSW1,2/1/18 7:00,7484.5,72.28,TRADE,0.07228,,,,
NSW1,2/1/18 7:30,7720.92,68.82,TRADE,0.06882,,,,
NSW1,2/1/18 8:00,7958.55,70.86,TRADE,0.07086,,,,
NSW1,2/1/18 8:30,8151.75,76.01,TRADE,0.07601,,,,
NSW1,2/1/18 9:00,8234.16,80.39,TRADE,0.08039,,,,
NSW1,2/1/18 9:30,8269.59,77.83,TRADE,0.07783,,,,
NSW1,2/1/18 10:00,8341.24,73.66,TRADE,0.07366,,,,
NSW1,2/1/18 10:30,8425.75,76.87,TRADE,0.07687,,,,
NSW1,2/1/18 11:00,8485.87,80.17,TRADE,0.08017,,,,
NSW1,2/1/18 11:30,8524.38,80.47,TRADE,0.08047,,,,
NSW1,2/1/18 12:00,8664.14,84.26,TRADE,0.08426,,,,
NSW1,2/1/18 12:30,8843.15,85.01,TRADE,0.08501,,,,
NSW1,2/1/18 13:00,8968.42,83.71,TRADE,0.08371,,,,
