SETTLEMENTDATE,RRP_MainGrid_KWh
1/1/18 0:30,0.09186
1/1/18 1:00,0.08883
1/1/18 1:30,0.07362
1/1/18 2:00,0.07149
1/1/18 2:30,0.06927
1/1/18 3:00,0.06844
1/1/18 3:30,0.06967
1/1/18 4:00,0.06758
1/1/18 4:30,0.06709
1/1/18 5:00,0.06753
1/1/18 5:30,0.0658
1/1/18 6:00,0.06153
1/1/18 6:30,0.06662
1/1/18 7:00,0.06842
1/1/18 7:30,0.06902
1/1/18 8:00,0.069
1/1/18 8:30,0.06888
1/1/18 9:00,0.06922
1/1/18 9:30,0.07404
1/1/18 10:00,0.07515
1/1/18 10:30,0.0752
1/1/18 11:00,0.08066
1/1/18 11:30,0.07793
1/1/18 12:00,0.07148
1/1/18 12:30,0.07047
1/1/18 13:00,0.07655
1/1/18 13:30,0.08384
1/1/18 14:00,0.08514
1/1/18 14:30,0.08488
1/1/18 15:00,0.08254
1/1/18 15:30,0.08706
1/1/18 16:00,0.09505
1/1/18 16:30,0.09084
1/1/18 17:00,0.09146
1/1/18 17:30,0.08183
1/1/18 18:00,0.07993
1/1/18 18:30,0.07277
1/1/18 19:00,0.07445
1/1/18 19:30,0.07173
1/1/18 20:00,0.07695
1/1/18 20:30,0.07891
1/1/18 21:00,0.06942
1/1/18 21:30,0.07131
1/1/18 22:00,0.0661
1/1/18 22:30,0.06572
1/1/18 23:00,0.06237
1/1/18 23:30,0.06284
2/1/18 0:00,0.05848
2/1/18 0:30,0.05673
2/1/18 1:00,0.05688
2/1/18 1:30,0.05373
2/1/18 2:00,0.05507
2/1/18 2:30,0.05374
2/1/18 3:00,0.05498
2/1/18 3:30,0.05498
2/1/18 4:00,0.05498
2/1/18 4:30,0.05247
2/1/18 5:00,0.06662
2/1/18 5:30,0.06689
2/1/18 6:00,0.06729
2/1/18 6:30,0.06602
2/1/18 7:00,0.07228
2/1/18 7:30,0.06882
2/1/18 8:00,0.07086
2/1/18 8:30,0.07601
2/1/18 9:00,0.08039
2/1/18 9:30,0.07783
2/1/18 10:00,0.07366
2/1/18 10:30,0.07687
2/1/18 11:00,0.08017
2/1/18 11:30,0.08047
2/1/18 12:00,0.08426
2/1/18 12:30,0.08501
2/1/18 13:00,0.08371
2/1/18 13:30,0.08959
2/1/18 14:00,0.08479
2/1/18 14:30,0.08658
2/1/18 15:00,0.08304
2/1/18 15:30,0.09422
2/1/18 16:00,0.08362
2/1/18 16:30,0.08668
2/1/18 17:00,0.08316
2/1/18 17:30,0.07463
2/1/18 18:00,0.07669
2/1/18 18:30,0.08012
2/1/18 19:00,0.08086
2/1/18 19:30,0.07184
2/1/18 20:00,0.07941
2/1/18 20:30,0.07966
2/1/18 21:00,0.06937
2/1/18 21:30,0.0683
2/1/18 22:00,0.06236
2/1/18 22:30,0.06748
2/1/18 23:00,0.06648
2/1/18 23:30,0.06723
3/1/18 0:00,0.06482
3/1/18 0:30,0.05982
3/1/18 1:00,0.05638
3/1/18 1:30,0.04935
3/1/18 2:00,0.04982
3/1/18 2:30,0.05363
3/1/18 3:00,0.05314
3/1/18 3:30,0.05498
3/1/18 4:00,0.05498
3/1/18 4:30,0.05623
3/1/18 5:00,0.05729
3/1/18 5:30,0.06269
3/1/18 6:00,0.06287
